season,section_name,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield
2022-2023,Matouri,0.7,0.27,0.73,4.19,8.37,1.41,0.0,0.03,0.44,0.0,0.0,0.0,0.87,0.56,0.97,9.14,18.29,1.86,0.11,0.09,0.09,1.62,3.24
2022-2023,Gabouga,0.68,0.26,0.74,3.84,7.67,1.35,0.0,0.03,0.44,0.09,0.18,0.13,0.86,0.56,0.97,8.36,16.72,1.91,0.14,0.08,0.08,1.56,3.11
2022-2023,Elshawal,0.74,0.3,0.7,4.55,9.11,1.38,0.21,0.05,0.39,0.27,0.55,0.42,0.87,0.61,0.95,9.65,19.3,1.79,0.08,0.09,0.09,1.62,3.23
2022-2023,Elhurga/Nuraldin,0.58,0.08,0.92,0.74,1.48,0.83,0.04,0.03,0.82,0.08,0.16,0.25,0.78,0.18,0.97,2.05,4.1,1.21,0.12,0.03,0.03,0.29,0.57
2022-2023,Al Genied,0.57,0.17,0.83,2.28,4.56,1.1,0.0,0.02,0.41,0.01,0.02,0.04,0.88,0.59,0.98,10.09,20.17,1.94,0.21,0.11,0.11,1.95,3.91
2023-2024,Abd_ElMagid,0.7,0.16,0.84,1.79,3.59,0.94,0.0,0.02,0.51,0.0,0.0,0.0,0.88,0.49,0.98,10.0,19.99,2.23,0.12,0.06,0.06,1.01,2.02
2023-2024,Kab_Elgidad,0.72,0.21,0.79,2.45,4.91,1.01,0.0,0.02,0.45,0.13,0.26,0.23,0.86,0.55,0.98,9.88,19.76,2.37,0.08,0.06,0.06,1.21,2.42
2023-2024,Turabi,0.72,0.23,0.77,2.67,5.33,1.02,0.0,0.02,0.36,0.0,0.01,0.01,0.86,0.64,0.98,9.31,18.62,2.33,0.09,0.06,0.06,1.21,2.43
2023-2024,Al_Gourashi,0.72,0.24,0.76,2.73,5.46,0.99,0.0,0.04,0.38,0.04,0.07,0.07,0.86,0.62,0.96,9.26,18.52,2.18,0.08,0.06,0.06,1.22,2.44
2023-2024,Surhan,0.72,0.23,0.77,2.55,5.11,0.96,0.02,0.03,0.51,0.04,0.08,0.08,0.88,0.49,0.97,8.32,16.63,2.11,0.06,0.05,0.05,1.04,2.08
2023-2024,Shaliee,0.73,0.25,0.75,2.74,5.48,0.96,0.0,0.03,0.38,0.03,0.06,0.04,0.85,0.62,0.97,8.83,17.65,2.13,0.07,0.06,0.06,1.26,2.52
2023-2024,Tabat,0.71,0.23,0.77,2.58,5.16,0.97,0.0,0.03,0.46,0.02,0.04,0.05,0.87,0.54,0.97,9.25,18.49,2.24,0.08,0.07,0.07,1.3,2.59
2023-2024,Elmessellamia,0.73,0.26,0.74,3.01,6.01,1.02,0.0,0.04,0.49,0.0,0.01,0.01,0.87,0.51,0.96,7.77,15.55,1.75,0.07,0.06,0.06,1.24,2.48
2023-2024,Wad_ElBurr,0.73,0.24,0.76,2.6,5.2,0.95,0.07,0.04,0.39,0.21,0.42,0.45,0.85,0.61,0.96,7.85,15.69,1.84,0.07,0.07,0.07,1.24,2.48
2023-2024,Elbasatna,0.75,0.27,0.73,3.17,6.33,1.04,0.0,0.03,0.32,0.06,0.12,0.13,0.85,0.68,0.97,8.47,16.94,1.88,0.07,0.07,0.07,1.3,2.6
2023-2024,El_Mukhtar,0.72,0.23,0.77,2.3,4.59,0.91,0.0,0.03,0.32,0.07,0.14,0.11,0.86,0.68,0.97,9.69,19.38,2.04,0.07,0.05,0.05,1.02,2.05
2023-2024,Wad Elnaw,0.75,0.26,0.74,2.73,5.45,0.96,0.0,0.02,0.43,0.08,0.15,0.16,0.86,0.57,0.98,7.81,15.61,1.76,0.07,0.07,0.07,1.21,2.42
2023-2024,Hag Abdalla and North West Sennar,0.71,0.22,0.78,2.09,4.18,0.86,0.08,0.04,0.48,0.24,0.47,0.36,0.85,0.52,0.96,6.57,13.14,1.61,0.08,0.07,0.07,1.02,2.04
2023-2024,EL_Mansi,0.72,0.24,0.76,2.65,5.29,0.94,0.01,0.03,0.46,0.02,0.04,0.04,0.86,0.54,0.97,9.32,18.64,2.2,0.07,0.06,0.06,1.13,2.26
2023-2024,El_Tahameed,0.72,0.22,0.78,2.62,5.23,1.01,0.0,0.02,0.44,0.0,0.0,0.0,0.86,0.56,0.98,9.51,19.03,2.35,0.08,0.06,0.06,1.32,2.64
2023-2024,Elfakhakhir,0.73,0.25,0.75,2.79,5.58,0.98,0.0,0.03,0.29,0.0,0.0,0.0,0.86,0.71,0.97,9.27,18.54,2.26,0.06,0.06,0.06,1.26,2.53
2023-2024,Elhafair,0.71,0.21,0.79,2.38,4.75,0.99,0.0,0.02,0.38,0.12,0.24,0.36,0.86,0.62,0.98,8.78,17.56,2.24,0.07,0.06,0.06,1.16,2.32
2023-2024,Matouri,0.7,0.21,0.79,2.29,4.59,0.95,0.0,0.03,0.41,0.01,0.02,0.02,0.87,0.59,0.97,8.52,17.04,2.02,0.08,0.06,0.06,1.17,2.33
2023-2024,Gabouga,0.69,0.2,0.8,2.09,4.19,0.92,0.0,0.03,0.55,0.0,0.0,0.0,0.87,0.45,0.97,7.38,14.76,2.0,0.08,0.05,0.05,1.04,2.09
2023-2024,Elshawal,0.73,0.22,0.78,2.41,4.83,0.97,0.14,0.03,0.44,0.28,0.57,0.32,0.88,0.56,0.97,7.32,14.63,1.84,0.08,0.08,0.08,1.21,2.41
2023-2024,Elhurga/Nuraldin,0.65,0.1,0.9,0.65,1.3,0.6,0.02,0.03,0.83,0.03,0.05,0.1,0.78,0.17,0.97,1.27,2.54,1.02,0.1,0.03,0.03,0.24,0.49
2023-2024,Al Genied,0.7,0.17,0.83,1.81,3.62,0.92,0.0,0.03,0.63,0.09,0.18,0.25,0.85,0.37,0.97,6.16,12.31,1.96,0.11,0.06,0.06,0.83,1.67
